iter	Passed	Remaining
576	17933	13147
577	17963	13115
578	17995	13084
579	18024	13052
580	18058	13023
581	18091	12993
582	18121	12961
583	18151	12929
584	18180	12897
585	18255	12897
586	18298	12874
587	18338	12849
588	18377	12823
589	18410	12793
590	18445	12765
591	18477	12734
592	18509	12703
593	18542	12673
594	18571	12641
595	18604	12611
596	18632	12577
597	18665	12547
598	18698	12517
599	18726	12484
600	18752	12449
601	18781	12417
602	18808	12383
603	18837	12350
604	18867	12318
605	18896	12285
606	18928	12255
607	18976	12234
608	19014	12207
609	19053	12181
610	19089	12153
611	19130	12128
612	19162	12097
613	19190	12064
614	19222	12033
615	19250	12000
616	19279	11967
617	19310	11935
618	19341	11905
619	19372	11873
620	19403	11842
621	19434	11810
622	19460	11776
623	19487	11742
624	19516	11709
625	19550	11680
626	19576	11646
627	19604	11613
628	19637	11582
629	19663	11548
630	19694	11516
631	19723	11484
632	19757	11455
633	19786	11422
634	19816	11390
635	19851	11361
636	19882	11330
637	19911	11297
638	19941	11265
639	19977	11237
640	20011	11207
641	20044	11177
642	20073	11145
643	20104	11113
644	20136	11082
645	20199	11069
646	20249	11048
647	20293	11023
648	20337	10999
649	20380	10973
650	20425	10949
651	20469	10925
652	20557	10923
653	20606	10901
654	20648	10875
655	20690	10849
656	20731	10823
657	20778	10799
658	20814	10770
659	20861	10746
660	20901	10719
661	20942	10692
662	20978	10663
663	21019	10636
664	21053	10605
665	21085	10574
666	21119	10543
667	21157	10515
668	21194	10486
669	21231	10457
670	21268	10428
671	21306	10399
672	21342	10369
673	21379	10341
674	21409	10308
675	21442	10277
676	21473	10245
677	21504	10213
678	21533	10179
679	21570	10150
680	21603	10119
681	21646	10093
682	21689	10066
683	21737	10042
684	21782	10016
685	21820	9987
686	21857	9958
687	21890	9927
688	21924	9896
689	21968	9869
690	22011	9843
691	22046	9812
692	22080	9781
693	22114	9750
694	22152	9721
695	22190	9692
696	22222	9660
697	22261	9631
698	22296	9601
699	22334	9571
700	22371	9542
701	22405	9511
702	22436	9478
703	22465	9445
704	22495	9413
705	22528	9381
706	22558	9348
707	22593	9318
708	22632	9289
709	22671	9260
710	22706	9229
711	22744	9199
712	22781	9170
713	22815	9138
714	22845	9106
715	22880	9075
716	22913	9043
717	22943	9011
718	22976	8979
719	23006	8947
720	23034	8913
721	23066	8881
722	23097	8849
723	23123	8815
724	23157	8784
725	23188	8751
726	23216	8718
727	23248	8686
728	23279	8653
729	23305	8619
730	23337	8588
731	23366	8554
732	23399	8523
733	23432	8491
734	23463	8459
735	23489	8425
736	23522	8394
737	23553	8361
738	23582	8328
739	23611	8296
740	23638	8262
741	23664	8228
742	23690	8194
743	23719	8161
744	23749	8128
745	23774	8094
746	23803	8061
747	23831	8028
748	23866	7997
749	23901	7967
750	23928	7933
751	23959	7901
752	23986	7867
753	24013	7834
754	24042	7801
755	24073	7769
756	24099	7736
757	24129	7703
758	24155	7669
759	24188	7638
760	24221	7606
761	24252	7574
762	24282	7542
763	24315	7511
764	24346	7478
765	24374	7446
766	24401	7412
767	24434	7381
768	24465	7349
769	24497	7317
770	24527	7285
771	24558	7253
772	24593	7222
773	24624	7190
774	24654	7157
775	24685	7125
776	24717	7093
777	24746	7061
778	24777	7029
779	24807	6997
780	24841	6965
781	24871	6933
782	24896	6899
783	24925	6867
784	24955	6834
785	24986	6802
786	25013	6769
787	25046	6738
788	25075	6705
789	25107	6674
790	25138	6642
791	25174	6611
792	25202	6578
793	25234	6547
794	25266	6515
795	25297	6483
796	25331	6451
797	25362	6420
798	25394	6388
799	25426	6356
800	25454	6324
801	25487	6292
802	25514	6259
803	25545	6227
804	25571	6194
805	25597	6161
806	25630	6129
807	25662	6097
808	25692	6065
809	25724	6034
810	25756	6002
811	25788	5970
812	25815	5937
813	25847	5906
814	25879	5874
815	25904	5841
816	25937	5809
817	25966	5777
818	25997	5745
819	26025	5712
820	26054	5680
821	26086	5649
822	26118	5617
823	26147	5584
824	26176	5552
825	26204	5520
826	26232	5487
827	26265	5456
828	26295	5423
829	26327	5392
830	26360	5360
831	26391	5329
832	26425	5297
833	26462	5267
834	26493	5235
835	26523	5203
836	26551	5170
837	26583	5139
838	26614	5107
839	26648	5075
840	26682	5044
841	26712	5012
842	26748	4981
843	26776	4949
844	26804	4916
845	26831	4884
846	26890	4857
847	26921	4825
848	26951	4793
849	26985	4762
850	27012	4729
851	27045	4698
852	27077	4666
853	27106	4634
854	27133	4601
855	27163	4569
856	27192	4537
857	27224	4505
858	27254	4473
859	27284	4441
860	27313	4409
861	27345	4377
862	27372	4345
863	27400	4312
864	27428	4280
865	27459	4248
866	27487	4216
867	27521	4185
868	27551	4153
869	27579	4121
870	27607	4088
871	27634	4056
872	27671	4025
873	27704	3993
874	27735	3962
875	27765	3930
876	27795	3898
877	27829	3867
878	27860	3835
